OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,COUNTY,COUNTRY,LATITUDE,LONGITUDE,OWNER,HELIPAD
8497,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,1700 JAMES BOWIE DRIVE,BAYTOWN,TX,77520,(281) 420-8765,GENERAL ACUTE CARE,OPEN,HARRIS,USA,29.74762022,-94.94547682,NON-PROFIT,Y
8498,"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,(614) 471-2552,SPECIAL,OPEN,FRANKLIN,USA,40.0271427,-82.88184334,PROPRIETARY,N
8499,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,(937) 641-3300,CHILDREN,OPEN,MONTGOMERY,USA,39.77424249,-84.16802733,NON-PROFIT,Y
8500,VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,BOARDMAN,OH,44512,(330) 726-5021,LONG TERM CARE,OPEN,MAHONING,USA,41.0051693,-80.63297231,PROPRIETARY,N
8501,HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,"ONE ELIZABETH PLACE,E3 SUITE A",DAYTON,OH,45417,(615) 393-8879,PSYCHIATRIC,OPEN,MONTGOMERY,USA,39.74773987,-84.19939762,PROPRIETARY,N
8502,CHG CORNERSTONE HOSPITAL OF OKLAHOMA,"1900 GORDON COOPER DRIVE,2ND FLOOR",SHAWNEE,OK,74801,(405) 395-5800,LONG TERM CARE,OPEN,POTTAWATOMIE,USA,35.29726161,-96.92709569,PROPRIETARY,N
8503,MARY HURLEY HOSPITAL,6 NORTH COVINGTON AVENUE,COALGATE,OK,74538,(580) 927-2327,GENERAL ACUTE CARE,OPEN,COAL,USA,34.53934684,-96.2237315,NON-PROFIT,Y
8504,TRINITY HOSPITALS,1 W BURDICK EXPY,MINOT,ND,58701,(701) 857-5000,GENERAL ACUTE CARE,OPEN,WARD,USA,48.23222596,-101.2940853,NON-PROFIT,Y
8505,LIFEBRITE COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,DANBURY,NC,27016,(336) 593-2831,GENERAL ACUTE CARE,OPEN,STOKES,USA,36.418068,-80.23107621,PROPRIETARY,N
8506,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,16750 RED OAK DR,HOUSTON,TX,77090,(281) 453-7110,GENERAL ACUTE CARE,OPEN,HARRIS,USA,30.0142879,-95.44068702,PROPRIETARY,N
8507,MCCALLEN MEDICAL CENTER,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,(956) 632-4000,GENERAL ACUTE CARE,OPEN,HIDALGO,USA,26.18699237,-98.22573011,PROPRIETARY,Y
8508,PRAIRIE SAINT JOHN'S,510 4TH STREET SOUTH,FARGO,ND,58103,(701) 476-7200,PSYCHIATRIC,OPEN,CASS,USA,46.86919521,-96.78500526,PROPRIETARY,N
8509,FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,76458,(940) 567-6633,GENERAL ACUTE CARE,OPEN,JACK,USA,33.23066769,-98.16693865,PROPRIETARY,Y
8510,COVENANT MEDICAL CENTER - LAKESIDE,4000 24TH STREET,LUBBOCK,TX,79410,(806) 725-0536,GENERAL ACUTE CARE,OPEN,LUBBOCK,USA,33.57339136,-101.9019483,NON-PROFIT,N
8511,WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,THE WOODLANDS,TX,77386,(281) 602-8160,GENERAL ACUTE CARE,OPEN,MONTGOMERY,USA,30.13090069,-95.44302258,PROPRIETARY,N
8512,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,(361) 902-4690,GENERAL ACUTE CARE,OPEN,NUECES,USA,27.77809368,-97.39474791,NON-PROFIT,Y
8513,THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,(361) 767-4300,GENERAL ACUTE CARE,OPEN,NUECES,USA,27.85491733,-97.63542317,PROPRIETARY,Y
8514,REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,BIG LAKE,TX,76932,(325) 884-2561,GENERAL ACUTE CARE,OPEN,REAGAN,USA,31.20401254,-101.4610176,GOVERNMENT - DISTRICT/AUTHORITY,N
8515,BAYLOR EMERGENCY MEDICAL CENTER,"1975 ALPHA,SUITE 100",ROCKWALL,TX,75087,(214) 294-6200,GENERAL ACUTE CARE,OPEN,ROCKWALL,USA,32.9140952,-96.44469769,PROPRIETARY,N
8519,TRINITY HOSPITAL - SAINT JOSEPHS,407 3RD STREET SOUTHEAST,MINOT,ND,58701,(701) 857-5000,GENERAL ACUTE CARE,OPEN,WARD,USA,48.23216459,-101.2872043,NON-PROFIT,N
8521,MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,(817) 639-1100,GENERAL ACUTE CARE,OPEN,TARRANT,USA,32.90029252,-97.31392872,PROPRIETARY,Y
8522,TEXAS HEALTH HOSPITAL CLEARFORK,5400 CLEARFORK MAIN ST,FORT WORTH,TX,76109,(817) 433-7010,GENERAL ACUTE CARE,OPEN,TARRANT,USA,32.70806442,-97.40231314,NON-PROFIT,N
8523,SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,SAN ANGELO,TX,76905,(325) 653-6741,GENERAL ACUTE CARE,OPEN,TOM GREEN,USA,31.4717117,-100.4024438,NON-PROFIT,N
8524,DETAR NORTH,101 MEDICAL DRIVE,VICTORIA,TX,77904,(361) 573-6100,GENERAL ACUTE CARE,OPEN,VICTORIA,USA,28.85434036,-97.01968631,PROPRIETARY,Y
8525,CENTRA LYNCHBURG GENERAL HOSPITAL,1901 TATE SPRINGS ROAD,LYNCHBURG,VA,24501,(434) 200-3000,GENERAL ACUTE CARE,OPEN,LYNCHBURG,USA,37.41701527,-79.17157799,NON-PROFIT,Y
8526,SHELTERING ARMS REHABILITATION HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA,23116,(804) 342-4320,REHABILITATION,OPEN,HANOVER,USA,37.62767133,-77.38713225,NOT AVAILABLE,N
8527,WINCHESTER REHABILITATION CENTER,333 WEST CORK STREET,WINCHESTER,VA,22601,(540) 536-5114,REHABILITATION,OPEN,WINCHESTER,USA,39.18315586,-78.17239498,NOT AVAILABLE,N
8528,SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,(540) 689-1000,GENERAL ACUTE CARE,OPEN,ROCKINGHAM,USA,38.40478676,-78.85547297,NON-PROFIT,N
8529,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,(276) 258-1000,GENERAL ACUTE CARE,OPEN,WASHINGTON,USA,36.72291339,-81.91212146,NON-PROFIT,Y
8530,VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,WOODSTOCK,VA,22664,(540) 459-1100,CRITICAL ACCESS,OPEN,SHENANDOAH,USA,38.8702953,-78.51268401,NON-PROFIT,Y
8531,NAVOS,2600 SW HOLDEN STREET,SEATTLE,WA,98168,(206) 933-7000,PSYCHIATRIC,OPEN,KING,USA,47.53407121,-122.3661718,NON-PROFIT,N
8532,WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DR,DECATUR,TX,76234,(940) 627-5921,GENERAL ACUTE CARE,OPEN,WISE,USA,33.21710703,-97.5937157,GOVERNMENT - DISTRICT/AUTHORITY,Y
8533,NORFOLK REGIONAL CENTER,1700 NORTH VICTORY RD,NORFOLK,NE,68701,(402) 370-3400,PSYCHIATRIC,OPEN,MADISON,USA,42.05069795,-97.38426911,GOVERNMENT - STATE,N
8534,CHI HEALTH ST MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,(402) 873-3321,CRITICAL ACCESS,OPEN,OTOE,USA,40.6799737,-95.86239282,NON-PROFIT,Y
8535,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,(402) 371-4880,GENERAL ACUTE CARE,OPEN,MADISON,USA,42.03389283,-97.45268418,NON-PROFIT,Y
8536,FAITH REGIONAL HEALTH SERVICES EAST CAMPUS,1500 KOENIGSTEIN AVE,NORFOLK,NE,68701,(402) 371-4880,GENERAL ACUTE CARE,OPEN,MADISON,USA,42.03435234,-97.43103267,NON-PROFIT,N
8537,GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,(308) 696-8000,GENERAL ACUTE CARE,OPEN,LINCOLN,USA,41.12173395,-100.7699743,NON-PROFIT,Y
